individual_round,individual,sample,round,model_spp_gr,spp,model,mpa,lfm_notes,fh,ttfg,gti,tti,fd,gd,pfg,ignition,start_temp,temp_max,ignition_temp,prop_new,sample_wt,glow,year_month,year,month,dry_wt,fresh_wt,water_wt,site,lfm_outliers_out,lfm_n_as_imputed,gr,precip_2month,precip_2mo,season,ignition_no_double,prop_ignite,ros,hydration,bins5lfm,bins10lfm,bins20lfm,temp_change,gdw_gfw,gww_gdw,gdw_gww,flam_index,max_mpa_sample,location
2020_September_ADFA_1.1_3,2020_September_ADFA_1.1,1.1,3,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,3.979,0,11,24,16,40,8,101,77,1,275.1,274.7,258.4,100,0.5415,1,2020_September,2020,September,0.3147,0.5476,0.2329,St. Marys,74.00699078,74.00699078,"(70,80]",2020_September,0.01,Dry,1,88,1.25,moderate,"(70,75]","(70,80]","(60,80]",-0.400000000000034,0.574689554419284,0.7400699078,1.3512237011593,8.777616764206442,-0.123,local
2020_September_ADFA_1.2_1,2020_September_ADFA_1.2,1.2,1,"2020_September_EPI_ADFA_(100,110]",ADFA,EPI,0.713,0,14.5,20,8,28,5,90,77,1,222.3,287.4,265.8,100,0.5253,1,2020_September,2020,September,0.2677,0.5419,0.2742,St. Marys,102.4280911,102.4280911,"(100,110]",2020_September,0.01,Dry,1,67,2,hydrated,"(100,105]","(100,110]","(100,120]",65.1,0.494002583502491,1.024280911,0.976294675419402,10.820439514387298,-0.244,local
2020_September_ADFA_1.2_3,2020_September_ADFA_1.2,1.2,3,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,2.444,0,8.5,8,25,33,9,144,110,1,272.3,289.1,260.4,100,0.4543,1,2020_September,2020,September,0.324,0.5668,0.2428,St. Marys,74.9382716,74.9382716,"(70,80]",2020_September,0.01,Dry,1,88,1.11111111111111,moderate,"(70,75]","(70,80]","(60,80]",16.8,0.571630204657728,0.749382716,1.33443163097199,9.047313018136094,-0.244,local
2020_September_ADFA_1.3_3,2020_September_ADFA_1.3,1.3,3,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,7.005,0,9,10,16,26,10,113,87,1,280,387.7,262.6,40,0.4649,1,2020_September,2020,September,0.3671,0.61,0.2429,St. Marys,66.16725688,66.16725688,"(60,70]",2020_September,0.01,Dry,1,91,1,moderate,"(65,70]","(60,70]","(60,80]",107.7,0.601803278688525,0.6616725688,1.51132153149444,10.105446785880147,-0.471,local
2020_September_ADFA_1.3_4,2020_September_ADFA_1.3,1.3,4,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,2.18,0,4,19,28,47,6,116,82,1,278.8,286.9,263,80,0.4729,1,2020_September,2020,September,0.2962,0.5173,0.2211,St. Marys,74.64550979,74.64550979,"(70,80]",2020_September,0.01,Dry,1,88,1.66666666666667,moderate,"(70,75]","(70,80]","(60,80]",8.09999999999997,0.572588439976803,0.7464550979,1.33966530981456,6.9984540797429915,-0.471,local
2020_September_ADFA_1.3_5,2020_September_ADFA_1.3,1.3,5,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,4.401,0,20.5,15,5,20,8,74,61,1,270.8,381,260.1,100,0.4808,1,2020_September,2020,September,0.2886,0.5,0.2114,St. Marys,73.25017325,73.25017325,"(70,80]",2020_September,0.01,Dry,1,88,1.25,moderate,"(70,75]","(70,80]","(60,80]",110.2,0.5772,0.7325017325,1.36518448438978,13.501867892780618,-0.471,local
2020_September_ADFA_1.3_6,2020_September_ADFA_1.3,1.3,6,"2020_September_EPI_ADFA_(50,60]",ADFA,EPI,7.639,"Missing these yellow lower videos , also, no weight for this video - might be mislabeled? Strange to have two burns for Epiâ€¦",10,13,10,23,7,89,72,1,265.8,364.1,264.6,100,0.5009,1,2020_September,2020,September,0.3411,0.5385,0.1974,St. Marys,57.87159191,57.87159191,"(50,60]",2020_September,0.01,Dry,1,87,1.42857142857143,dry,"(55,60]","(50,60]","(40,60]",98.3,0.633426183844011,0.5787159191,1.72796352583587,10.851652159157704,-0.471,local
2020_September_ADFA_1.3_7,2020_September_ADFA_1.3,1.3,7,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,5.79,0,4,5,26,31,2,77,49,1,279.2,302.3,261.7,NA,0.4462,1,2020_September,2020,September,0.2793,0.488,0.2087,St. Marys,74.72252059,74.72252059,"(70,80]",2020_September,0.01,Dry,1,88,5,moderate,"(70,75]","(70,80]","(60,80]",23.1,0.57233606557377,0.7472252059,1.33828461907044,8.317175406244404,-0.471,local
2020_September_ADFA_1.4_11,2020_September_ADFA_1.4,1.4,11,"2020_September_EPI_ADFA_(40,50]",ADFA,EPI,10,0,6.25,7,24,31,3,131,104,1,271.9,312.6,278.5,NA,0.5538,1,2020_September,2020,September,0.4151,0.6084,0.1933,St. Marys,46.56709227,46.56709227,"(40,50]",2020_September,0.01,Dry,1,100,3.33333333333333,dry,"(45,50]","(40,50]","(40,60]",40.7,0.682281393819855,0.4656709227,2.14743921365753,8.82210381627319,-0.225,local
2020_September_ADFA_1.4_11,2020_September_ADFA_1.4,1.4,11,"2020_September_EPI_ADFA_(40,50]",ADFA,EPI,10,0,9,27,16,43,6,117,95,1,273.5,326.1,283.2,NA,0.5538,1,2020_September,2020,September,0.4151,0.6084,0.1933,St. Marys,46.56709227,46.56709227,"(40,50]",2020_September,0.01,Dry,1,100,1.66666666666667,dry,"(45,50]","(40,50]","(40,60]",52.6,0.682281393819855,0.4656709227,2.14743921365753,8.189999955089379,-0.225,local
2020_September_ADFA_1.4_2,2020_September_ADFA_1.4,1.4,2,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,5.33,0,6.5,13,27,40,2,113,84,1,272.4,278.1,269.5,100,0.5212,1,2020_September,2020,September,0.324,0.5213,0.1973,St. Marys,60.89506173,60.89506173,"(60,70]",2020_September,0.01,Dry,1,91,5,moderate,"(60,65]","(60,70]","(60,80]",5.70000000000005,0.621523115288701,0.6089506173,1.64216928535226,7.978585165450483,-0.225,local
2020_September_ADFA_1.4_2,2020_September_ADFA_1.4,1.4,2,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,5.33,0,12,40,2,42,4,97,91,1,277.4,307.9,269,100,0.5464,1,2020_September,2020,September,0.324,0.5213,0.1973,St. Marys,60.89506173,60.89506173,"(60,70]",2020_September,0.01,Dry,1,91,2.5,moderate,"(60,65]","(60,70]","(60,80]",30.5,0.621523115288701,0.6089506173,1.64216928535226,8.760717688374058,-0.225,local
2020_September_ADFA_1.4_3,2020_September_ADFA_1.4,1.4,3,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,5.751,0,3.5,9,36,45,4,141,101,1,279.2,299.4,278.7,50,0.4901,1,2020_September,2020,September,0.2916,0.4742,0.1826,St. Marys,62.62002743,62.62002743,"(60,70]",2020_September,0.01,Dry,1,91,2.5,moderate,"(60,65]","(60,70]","(60,80]",20.2,0.61493040911008,0.6262002743,1.59693318729463,7.0221762843353455,-0.225,local
2020_September_ADFA_1.4_7,2020_September_ADFA_1.4,1.4,7,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,3.502,0,14.5,26,9,35,8,93,76,1,282.4,382.8,255.6,100,0.5523,1,2020_September,2020,September,0.2885,0.5059,0.2174,St. Marys,75.35528596,75.35528596,"(70,80]",2020_September,0.01,Dry,1,88,1.25,moderate,"(75,80]","(70,80]","(60,80]",100.4,0.570270804506819,0.7535528596,1.32704691812327,9.852847835788536,-0.225,local
2020_September_ADFA_1.5_1,2020_September_ADFA_1.5,1.5,1,"2020_September_EPI_ADFA_(80,90]",ADFA,EPI,0.136,0,3,24,36,60,1,127,90,1,256.9,279.5,252.7,100,0.541,1,2020_September,2020,September,0.2965,0.5395,0.243,St. Marys,81.95615514,81.95615514,"(80,90]",2020_September,0.01,Dry,1,93,10,moderate,"(80,85]","(80,90]","(80,100]",22.6,0.549582947173309,0.8195615514,1.2201646090535,6.173713404422584,-0.136,local
2020_September_ADFA_1.5_7,2020_September_ADFA_1.5,1.5,7,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,4.49,0,18,13,18,31,5,97,74,1,280.1,337.6,302,NA,0.4973,1,2020_September,2020,September,0.3418,0.5683,0.2265,St. Marys,66.2668227,66.2668227,"(60,70]",2020_September,0.01,Dry,1,91,2,moderate,"(65,70]","(60,70]","(60,80]",57.5,0.601442899876826,0.662668227,1.50905077262693,10.905752962067218,-0.136,local
2020_September_ADFA_1.5_7,2020_September_ADFA_1.5,1.5,7,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,4.49,0,10,18,20,38,4,100,76,1,276.9,300.1,260.6,12.5,0.4801,1,2020_September,2020,September,0.3418,0.5683,0.2265,St. Marys,66.2668227,66.2668227,"(60,70]",2020_September,0.01,Dry,1,91,2.5,moderate,"(65,70]","(60,70]","(60,80]",23.2,0.601442899876826,0.662668227,1.50905077262693,8.795999724481945,-0.136,local
2020_September_ADFA_1.6_1,2020_September_ADFA_1.6,1.6,1,"2020_September_EPI_ADFA_(100,110]",ADFA,EPI,0.316,0,4.5,29,27,56,3,133,103,1,256.4,286.1,248.6,100,0.5341,1,2020_September,2020,September,0.2538,0.5258,0.272,St. Marys,107.1710008,107.1710008,"(100,110]",2020_September,0.01,Dry,1,67,3.33333333333333,hydrated,"(105,110]","(100,110]","(100,120]",29.7,0.482693039178395,1.071710008,0.933088235294118,6.6182634013690125,-0.316,local
2020_September_ADFA_1.6_3,2020_September_ADFA_1.6,1.6,3,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,5.741,0,1.5,24,25,49,1,120,94,1,274.6,275.1,264.7,100,0.5296,1,2020_September,2020,September,0.3292,0.5376,0.2084,Painted Caves,63.30498177,63.30498177,"(60,70]",2020_September,0.01,Dry,1,91,10,moderate,"(60,65]","(60,70]","(60,80]",0.5,0.61235119047619,0.6330498177,1.57965451055662,6.375664101530902,-0.316,local
2020_September_ADFA_1.6_4,2020_September_ADFA_1.6,1.6,4,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,3.996,0,10.5,19,29,48,10,152,113,1,277.9,333.8,253.3,20,0.537,1,2020_September,2020,September,0.3004,0.5198,0.2194,St. Marys,73.03595206,73.03595206,"(70,80]",2020_September,0.01,Dry,1,88,1,moderate,"(70,75]","(70,80]","(60,80]",55.9,0.577914582531743,0.7303595206,1.36918869644485,8.06999835954569,-0.316,local
2020_September_ADFA_1.6_6,2020_September_ADFA_1.6,1.6,6,"2020_September_EPI_ADFA_(50,60]",ADFA,EPI,6.912,0,13,27,12,39,10,131,109,1,278.8,305.5,260.8,NA,0.5509,1,2020_September,2020,September,0.3416,0.5316,0.19,St. Marys,55.6206089,55.6206089,"(50,60]",2020_September,0.01,Dry,1,87,1,dry,"(55,60]","(50,60]","(40,60]",139.8,0.642588412340105,0.556206089,1.79789473684211,9.191038464571204,-0.316,local
2020_September_ADFA_1.6_6,2020_September_ADFA_1.6,1.6,6,"2020_September_EPI_ADFA_(50,60]",ADFA,EPI,6.912,0,15,5,46,51,11,184,127,1,268.2,363.8,275.4,100,0.4927,1,2020_September,2020,September,0.3416,0.5316,0.19,St. Marys,55.6206089,55.6206089,"(50,60]",2020_September,0.01,Dry,1,87,0.909090909090909,dry,"(55,60]","(50,60]","(40,60]",95.6,0.642588412340105,0.556206089,1.79789473684211,8.507917043370009,-0.316,local
2020_September_ADFA_2.1_1,2020_September_ADFA_2.1,2.1,1,"2020_September_EPI_ADFA_(90,100]",ADFA,EPI,0.319,0,2.5,16,20,34,2,183,125,1,255.5,267.7,255.2,NA,0.5291,1,2020_September,2020,September,0.2494,0.4859,0.2365,Painted Caves,94.82758621,94.82758621,"(90,100]",2020_September,0.01,Dry,1,91,5,hydrated,"(90,95]","(90,100]","(80,100]",12.2,0.513274336283186,0.9482758621,1.05454545454545,7.654193143567003,-0.319,local
2020_September_ADFA_2.1_2,2020_September_ADFA_2.1,2.1,2,"2020_September_EPI_ADFA_(50,60]",ADFA,EPI,7.86,0,5.5,26,29,55,7,189,153,1,267.7,280.9,258.5,60,0.5387,1,2020_September,2020,September,0.3104,0.484,0.1736,Painted Caves,55.92783505,55.92783505,"(50,60]",2020_September,0.01,Dry,1,87,1.42857142857143,dry,"(55,60]","(50,60]","(40,60]",13.2,0.641322314049587,0.5592783505,1.78801843317972,6.843162033932288,-0.319,local
2020_September_ADFA_2.1_4,2020_September_ADFA_2.1,2.1,4,"2020_September_EPI_ADFA_(90,100]",ADFA,EPI,1.13,0,6.5,18,13,31,6,143,110,1,277.7,305.5,253.5,75,0.5216,1,2020_September,2020,September,0.2531,0.4841,0.231,Painted Caves,91.26827341,91.26827341,"(90,100]",2020_September,0.01,Dry,1,91,0.5,hydrated,"(90,95]","(90,100]","(80,100]",138.3,0.522825862425119,0.9126827341,1.095670995671,8.87572742543367,-0.319,local
2020_September_ADFA_2.1_5,2020_September_ADFA_2.1,2.1,5,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,5.068,0,5,12,29,41,5,148,114,1,279.4,297.6,266.9,NA,0.5721,1,2020_September,2020,September,0.3336,0.5588,0.2252,Painted Caves,67.5059952,67.5059952,"(60,70]",2020_September,0.01,Dry,1,91,2,moderate,"(65,70]","(60,70]","(60,80]",18.2,0.596993557623479,0.675059952,1.48134991119005,7.604733070410981,-0.319,local
2020_September_ADFA_2.1_6,2020_September_ADFA_2.1,2.1,6,"2020_September_EPI_ADFA_(30,40]",ADFA,EPI,9.016,0,16,11,30,41,6,112,84,1,282.1,375.4,292.5,NA,0.549,1,2020_September,2020,September,0.3668,0.5069,0.1401,Painted Caves,38.19520174,38.19520174,"(30,40]",2020_September,0.01,Dry,1,100,1.66666666666667,dry,"(35,40]","(30,40]","(20,40]",93.3,0.723614125073979,0.3819520174,2.61812990720914,9.43677083551565,-0.319,local
2020_September_ADFA_2.2_2,2020_September_ADFA_2.2,2.2,2,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,0.873,0,12.5,13,26,39,9,171,136,1,281.9,267.8,259.1,50,0.5533,1,2020_September,2020,September,0.2947,0.518,0.2233,Painted Caves,75.7719715,75.7719715,"(70,80]",2020_September,0.01,Dry,1,88,1.11111111111111,moderate,"(75,80]","(70,80]","(60,80]",-14.1,0.568918918918919,0.757719715,1.31974921630094,9.11284198269232,-0.256,local
2020_September_ADFA_2.2_4,2020_September_ADFA_2.2,2.2,4,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,3.488,0,6,6,19,25,4,109,86,1,276.3,332.5,252.5,NA,0.4705,1,2020_September,2020,September,0.3487,0.5759,0.2272,Painted Caves,65.15629481,65.15629481,"(60,70]",2020_September,0.01,Dry,1,91,2.5,moderate,"(65,70]","(60,70]","(60,80]",56.2,0.605487063726341,0.6515629481,1.53477112676056,9.595168816283088,-0.256,local
2020_September_ADFA_2.2_7,2020_September_ADFA_2.2,2.2,7,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,4.973,0,5,18,19,37,15,143,109,1,269.5,343.5,271,NA,0.538,1,2020_September,2020,September,0.2869,0.4828,0.1959,Painted Caves,68.28163123,68.28163123,"(60,70]",2020_September,0.01,Dry,1,91,0.666666666666667,moderate,"(65,70]","(60,70]","(60,80]",74,0.594241922120961,0.6828163123,1.46452271567126,7.935834301271786,-0.256,local
2020_September_ADFA_2.3_2,2020_September_ADFA_2.3,2.3,2,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,0.746,0,4,8,49,57,3,154,102,1,276.3,282.4,261.4,NA,0.4826,1,2020_September,2020,September,0.2813,0.4623,0.181,Painted Caves,64.3441166,64.3441166,"(60,70]",2020_September,0.01,Dry,1,91,3.33333333333333,moderate,"(60,65]","(60,70]","(60,80]",6.09999999999997,0.608479342418343,0.643441166,1.55414364640884,6.482587373782458,-0.106,local
2020_September_ADFA_2.3_5,2020_September_ADFA_2.3,2.3,5,"2020_September_EPI_ADFA_(80,90]",ADFA,EPI,2.087,0,9,21,33,54,15,170,122,1,278.3,259.2,285.6,NA,0.5393,1,2020_September,2020,September,0.2869,0.5366,0.2497,Painted Caves,87.03380969,87.03380969,"(80,90]",2020_September,0.01,Dry,1,93,0.666666666666667,moderate,"(85,90]","(80,90]","(80,100]",-19.1,0.534662691017518,0.8703380969,1.14897877452944,7.47244866553618,-0.106,local
2020_September_ADFA_2.4_1,2020_September_ADFA_2.4,2.4,1,"2020_September_EPI_ADFA_(100,110]",ADFA,EPI,0.116,0,8,9,42,51,13,172,117,1,235.6,290.7,265.8,40,0.4631,1,2020_September,2020,September,0.299,0.6217,0.3227,Painted Caves,107.9264214,107.9264214,"(100,110]",2020_September,0.01,Dry,1,67,0.769230769230769,hydrated,"(105,110]","(100,110]","(100,120]",55.1,0.480939359819849,1.079264214,0.926557173845677,7.481443227982609,-0.116,local
2020_September_ADFA_2.4_3,2020_September_ADFA_2.4,2.4,3,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,3.444,0,9,13,22,35,8,50,20,1,267.5,339.2,249,NA,0.5341,1,2020_September,2020,September,0.3605,0.6467,0.2862,Painted Caves,79.38973648,79.38973648,"(70,80]",2020_September,0.01,Dry,1,88,1.25,moderate,"(75,80]","(70,80]","(60,80]",71.7,0.557445492500387,0.7938973648,1.25960866526904,8.92059763172536,-0.116,local
2020_September_ADFA_2.4_4,2020_September_ADFA_2.4,2.4,4,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,6.166,0,16,10,11,21,9,120,100,1,289.6,379.1,263.7,20,0.4544,1,2020_September,2020,September,0.3339,0.5422,0.2083,Painted Caves,62.38394729,62.38394729,"(60,70]",2020_September,0.01,Dry,1,91,1.11111111111111,moderate,"(60,65]","(60,70]","(60,80]",89.5,0.615824419033567,0.6238394729,1.6029764762362,12.472273548947086,-0.116,local
2020_September_ADFA_2.4_5,2020_September_ADFA_2.4,2.4,5,"2020_September_EPI_ADFA_(90,100]",ADFA,EPI,1.059,0,14,24,18,42,7,130,105,1,266.8,330.7,257.1,NA,0.5782,1,2020_September,2020,September,0.3007,0.575,0.2743,Painted Caves,91.22048553,91.22048553,"(90,100]",2020_September,0.01,Dry,1,91,1.42857142857143,hydrated,"(90,95]","(90,100]","(80,100]",63.9,0.522956521739131,0.9122048553,1.09624498724025,9.061629282847369,-0.116,local
2020_September_ADFA_2.5_1,2020_September_ADFA_2.5,2.5,1,"2020_September_EPI_ADFA_(90,100]",ADFA,EPI,0.151,0,10.5,17,17,34,11,107,79,1,273.5,316.5,247,100,0.4862,1,2020_September,2020,September,0.2532,0.4943,0.2411,Painted Caves,95.22116904,95.22116904,"(90,100]",2020_September,0.01,Dry,1,91,0.909090909090909,hydrated,"(95,100]","(90,100]","(80,100]",43,0.512239530649403,0.9522116904,1.05018664454583,9.304590293211652,-0.151,local
2020_September_ADFA_2.5_10,2020_September_ADFA_2.5,2.5,10,"2020_September_EPI_ADFA_(50,60]",ADFA,EPI,8.821,0,12,7,18,25,8,119,93,1,280.8,359.2,264.2,NA,0.498,1,2020_September,2020,September,0.381,0.5802,0.1992,Painted Caves,52.28346457,52.28346457,"(50,60]",2020_September,0.01,Dry,1,87,1.25,dry,"(50,55]","(50,60]","(40,60]",78.4,0.656670113753878,0.5228346457,1.91265060240964,10.882259008920482,-0.151,local
2020_September_ADFA_2.5_2,2020_September_ADFA_2.5,2.5,2,"2020_September_EPI_ADFA_(80,90]",ADFA,EPI,2.04,no second weight,5.5,20,41,61,3,160,116,1,277.5,281.2,266.7,NA,0.5382,1,2020_September,2020,September,0.2744,0.495,0.2206,Painted Caves,80.39358601,80.39358601,"(80,90]",2020_September,0.01,Dry,1,93,3.33333333333333,moderate,"(80,85]","(80,90]","(80,100]",3.69999999999999,0.554343434343434,0.8039358601,1.24388032638259,6.574592095394913,-0.151,local
2020_September_ADFA_2.5_4,2020_September_ADFA_2.5,2.5,4,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,3.549,0,13,15,17,32,16,111,78,1,281.6,289.4,274,NA,0.5363,1,2020_September,2020,September,0.2627,0.4468,0.1841,Painted Caves,70.07993909,70.07993909,"(70,80]",2020_September,0.01,Dry,1,88,0.625,moderate,"(70,75]","(70,80]","(60,80]",7.79999999999995,0.587958818263205,0.7007993909,1.42694187941336,9.983681738422948,-0.151,local
2020_September_ADFA_2.5_5,2020_September_ADFA_2.5,2.5,5,"2020_September_EPI_ADFA_(80,90]",ADFA,EPI,1.16,0,4,14,25,39,4,85,56,1,276.7,315.4,281.3,100,0.5147,1,2020_September,2020,September,0.2827,0.5281,0.2454,Painted Caves,86.8058012,86.8058012,"(80,90]",2020_September,0.01,Dry,1,93,2.5,moderate,"(85,90]","(80,90]","(80,100]",38.7,0.535315281196743,0.868058012,1.1519967400163,7.55538978559553,-0.151,local
2020_September_ADFA_2.5_7,2020_September_ADFA_2.5,2.5,7,"2020_September_EPI_ADFA_(60,70]",ADFA,EPI,4.878,0,18,18,26,44,2,92,64,1,281.2,295.9,284.9,20,0.4354,1,2020_September,2020,September,0.3248,0.5298,0.205,Painted Caves,63.11576355,63.11576355,"(60,70]",2020_September,0.01,Dry,1,91,5,moderate,"(60,65]","(60,70]","(60,80]",14.7,0.613061532653832,0.6311576355,1.58439024390244,9.426219770936877,-0.151,local
2020_September_ADFA_2.6_7,2020_September_ADFA_2.6,2.6,7,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,4.28,Missing these yellow lower videos,10,26,18,44,1,112,93,1,269.4,305.5,278.1,NA,0.5291,1,2020_September,2020,September,0.2696,0.4738,0.2042,Painted Caves,75.74183976,75.74183976,"(70,80]",2020_September,0.01,Dry,1,88,10,moderate,"(75,80]","(70,80]","(60,80]",-56.8,0.569016462642465,0.7574183976,1.32027424094025,8.27935787364308,-0.089,local
2020_September_ADFA_2.6_9,2020_September_ADFA_2.6,2.6,9,"2020_September_EPI_ADFA_(70,80]",ADFA,EPI,5.779,0,6.75,9,37,46,2,138,99,1,278,299.6,275.7,20,0.502,1,2020_September,2020,September,0.3165,0.5595,0.243,Painted Caves,76.77725118,76.77725118,"(70,80]",2020_September,0.01,Dry,1,88,5,moderate,"(75,80]","(70,80]","(60,80]",21.6,0.565683646112601,0.7677725118,1.30246913580247,7.578960704481055,-0.089,local
2020_September_CEME_1.2_1,2020_September_CEME_1.2,1.2,1,"2020_September_EPI_CEME_(70,80]",CEME,EPI,1.88,0,13,21,29,50,4,125,92,1,275.5,300.5,270,100,0.4698,1,2020_September,2020,September,0.3114,0.534,0.2226,St. Marys,71.48362235,71.48362235,"(70,80]",2020_September,0.01,Dry,1,59,2.5,moderate,"(70,75]","(70,80]","(60,80]",25,0.58314606741573,0.7148362235,1.3989218328841,8.304183875884508,-0.394,local
2020_September_CEME_1.2_2,2020_September_CEME_1.2,1.2,2,"2020_September_EPI_CEME_(80,90]",CEME,EPI,1.089,0,15,22,24,46,7,92,61,1,277.6,339.1,263.6,100,0.5451,1,2020_September,2020,September,0.2818,0.5115,0.2297,St. Marys,81.51171043,81.51171043,"(80,90]",2020_September,0.01,Dry,1,30,1.42857142857143,moderate,"(80,85]","(80,90]","(80,100]",61.5,0.550928641251222,0.8151171043,1.22681758815847,8.868617637055145,-0.394,local
2020_September_CEME_1.4_1,2020_September_CEME_1.4,1.4,1,"2020_September_EPI_CEME_(100,110]",CEME,EPI,0.192,0,8.5,22,19,41,6,128,103,1,274.5,367.1,265,100,0.5123,1,2020_September,2020,September,0.2367,0.4892,0.2525,St. Marys,106.6751162,106.6751162,"(100,110]",2020_September,0.01,Dry,1,36,1.66666666666667,hydrated,"(105,110]","(100,110]","(100,120]",92.6,0.483851185609158,1.066751162,0.937425742574257,8.264402580429614,-0.192,local
2020_September_CEME_1.4_3,2020_September_CEME_1.4,1.4,3,"2020_September_EPI_CEME_(70,80]",CEME,EPI,3.17,0,16,23,28,51,8,127,91,1,274.1,296.8,263.2,100,0.5593,1,2020_September,2020,September,0.2864,0.5092,0.2228,St. Marys,77.79329609,77.79329609,"(70,80]",2020_September,0.01,Dry,1,59,1.25,moderate,"(75,80]","(70,80]","(60,80]",153.1,0.562450903377848,0.7779329609,1.28545780969479,8.636067363862477,-0.192,local
2020_September_CEME_1.6_1,2020_September_CEME_1.6,1.6,1,"2020_September_EPI_CEME_(90,100]",CEME,EPI,0.491,0,6.5,19,29,48,5,163,129,1,273.8,287,262.7,100,0.4611,1,2020_September,2020,September,0.2695,0.5355,0.266,St. Marys,98.7012987,98.7012987,"(90,100]",2020_September,0.01,Dry,1,46,2,hydrated,"(95,100]","(90,100]","(80,100]",13.2,0.503267973856209,0.987012987,1.01315789473684,7.405204988271144,-0.491,local
2020_September_CEME_1.6_3,2020_September_CEME_1.6,1.6,3,"2020_September_EPI_CEME_(100,110]",CEME,EPI,0.909,0,4,31,43,43,2,132,87,1,273.7,303.2,284.4,100,0.555,1,2020_September,2020,September,0.2754,0.551,0.2756,St. Marys,100.0726216,100.0726216,"(100,110]",2020_September,0.01,Dry,1,36,5,hydrated,"(100,105]","(100,110]","(100,120]",29.5,0.499818511796733,1.000726216,0.999274310595065,7.256852177503404,-0.491,local
2020_September_CEME_1.6_9,2020_September_CEME_1.6,1.6,9,"2020_September_EPI_CEME_(50,60]",CEME,EPI,8.667,0,11.5,25,20,45,4,117,93,1,273.2,326.5,290.9,100,0.5279,1,2020_September,2020,September,0.3913,0.5964,0.2051,St. Marys,52.41502683,52.41502683,"(50,60]",2020_September,0.01,Dry,1,52,2.5,dry,"(50,55]","(50,60]","(40,60]",53.3,0.656103286384977,0.5241502683,1.90784982935154,8.440321348485426,-0.491,local
2020_September_CEME_2.1_2,2020_September_CEME_2.1,2.1,2,"2020_September_EPI_CEME_(100,110]",CEME,EPI,1.082,0,7,33,16,49,14,165,135,1,277.1,331.4,259.9,100,0.4649,1,2020_September,2020,September,0.239,0.4841,0.2451,Painted Caves,102.5523013,102.5523013,"(100,110]",2020_September,0.01,Dry,1,36,0.714285714285714,hydrated,"(100,105]","(100,110]","(100,120]",54.3,0.493699648832886,1.025523013,0.975112199102407,7.431584049217116,-0.641,local
2020_September_CEME_2.2_1,2020_September_CEME_2.2,2.2,1,"2020_September_EPI_CEME_(100,110]",CEME,EPI,0.226,0,7.5,27,29,56,18,154,107,1,278.3,300.8,263.6,100,0.4924,1,2020_September,2020,September,0.2717,0.5616,0.2899,Painted Caves,106.6985646,106.6985646,"(100,110]",2020_September,0.01,Dry,1,36,0.555555555555556,hydrated,"(105,110]","(100,110]","(100,120]",22.5,0.483796296296296,1.066985646,0.937219730941704,7.130398838561591,-0.226,local
